TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
24320,2432,2732,D,D,
25111,2511,2811,D,D,
25112,2511,2811,D,D,
25113,2511,2811,D,D,
25119,2511,2811,D,D,
33110,3311,2811,D,D,
25121,2512,2812,D,D,
25122,2512,2812,D,D,
25129,2512,2812,D,D,
33110,3311,2812,D,D,
25130,2513,2813,D,D,
33110,3311,2813,D,D,
33200,3320,2813,D,D,
25910,2591,2891,D,D,
,,2892,D,D,"delete TSIC=01629, LFS11=0162"
18119,1811,2892,D,D,
25921,2592,2892,D,D,
25922,2592,2892,D,D,
33110,3311,2892,D,D,
,,2892,D,D,"delete TSIC=95299, LFS11=9529"
25931,2593,2893,D,D,
25932,2593,2893,D,D,
25939,2593,2893,D,D,
33110,3311,2893,D,D,
25941,2594,2899,D,D,
25949,2594,2899,D,D,
25951,2595,2899,D,D,
25952,2595,2899,D,D,
25991,2599,2899,D,D,
25992,2599,2899,D,D,
25993,2599,2899,D,D,
25999,2599,2899,D,D,
28170,2817,2899,D,D,
32903,3290,2899,D,D,
33110,3311,2899,D,D,
28110,2811,2911,D,D,
33121,3312,2911,D,D,
33200,3320,2911,D,D,
28110,2811,2912,D,D,
28120,2812,2912,D,D,
28131,2813,2912,D,D,
28132,2813,2912,D,D,
33121,3312,2912,D,D,
33200,3320,2912,D,D,
28120,2812,2913,D,D,
28140,2814,2913,D,D,
33121,3312,2913,D,D,
28150,2815,2914,D,D,
33121,3312,2914,D,D,
33200,3320,2914,D,D,
28160,2816,2915,D,D,
33121,3312,2915,D,D,
33200,3320,2915,D,D,
28191,2819,2919,D,D,
28199,2819,2919,D,D,
32501,3250,2919,D,D,
33121,3312,2919,D,D,
33200,3320,2919,D,D,
28211,2821,2921,D,D,
28219,2821,2921,D,D,
33122,3312,2921,D,D,
33200,3320,2921,D,D,
27909,2790,2922,D,D,
28180,2818,2922,D,D,
28199,2819,2922,D,D,
28221,2822,2922,D,D,
28229,2822,2922,D,D,
33122,3312,2922,D,D,
33149,3314,2922,D,D,
33200,3320,2922,D,D,
28230,2823,2923,D,D,
33122,3312,2923,D,D,
33200,3320,2923,D,D,
28240,2824,2924,D,D,
33122,3312,2924,D,D,
33200,3320,2924,D,D,
28250,2825,2925,D,D,
33122,3312,2925,D,D,
33200,3320,2925,D,D,
28261,2826,2926,D,D,
28269,2826,2926,D,D,
33122,3312,2926,D,D,
25201,2520,2927,D,D,
25209,2520,2927,D,D,
30300,3030,2927,D,D,
33110,3311,2927,D,D,
25939,2593,2929,D,D,
27909,2790,2929,D,D,
28261,2826,2929,D,D,
28291,2829,2929,D,D,
28292,2829,2929,D,D,
28299,2829,2929,D,D,
33110,3311,2929,D,D,
33122,3312,2929,D,D,
33149,3314,2929,D,D,
33200,3320,2929,D,D,
27501,2750,2930,D,D,
27502,2750,2930,D,D,
27503,2750,2930,D,D,
28150,2815,2930,D,D,
28191,2819,2930,D,D,
26109,2610,3000,D,D,
26201,2620,3000,D,D,
26202,2620,3000,D,D,
26203,2620,3000,D,D,
26209,2620,3000,D,D,
